,count,unique,top,freq,mean,std,min,25%,50%,75%,max
PassengerId,891.0,,,,446.0,257.3538420152301,1.0,223.5,446.0,668.5,891.0
Survived,891.0,,,,0.3838383838383838,0.4865924542648585,0.0,0.0,0.0,1.0,1.0
Pclass,891.0,,,,2.308641975308642,0.8360712409770513,1.0,2.0,3.0,3.0,3.0
Name,891,891,"Braund, Mr. Owen Harris",1,,,,,,,
Sex,891,2,male,577,,,,,,,
Age,714.0,,,,29.69911764705882,14.526497332334044,0.42,20.125,28.0,38.0,80.0
SibSp,891.0,,,,0.5230078563411896,1.1027434322934275,0.0,0.0,0.0,1.0,8.0
Parch,891.0,,,,0.38159371492704824,0.8060572211299559,0.0,0.0,0.0,0.0,6.0
Ticket,891,681,347082,7,,,,,,,
Fare,891.0,,,,32.2042079685746,49.693428597180905,0.0,7.9104,14.4542,31.0,512.3292
Cabin,204,147,B96 B98,4,,,,,,,
Embarked,889,3,S,644,,,,,,,
Fare_log,891.0,,,,2.9622457416890775,0.969048270122367,0.0,2.187217791453408,2.737880811060884,3.4657359027997265,6.240917354759096
